Year,Disease,Gender,WR Count,WR Crude Rate per 100000,WR 5 Year Average Rate,ON Crude Rate per 100000,ON 5 Year Average Rate
2015,West Nile virus (WNv),Female,1,0.37,N/A,0.23,N/A
2016,AIDS,Male,3,1.09,N/A,0.80,N/A
2016,Amebiasis,Male,19,6.89,N/A,8.87,N/A
2016,Anaplasmosis,Male,0,0.00,N/A,0.00,N/A
2016,Anthrax,Male,0,0.00,N/A,0.00,N/A
2016,Babesiosis,Male,0,0.00,N/A,0.00,N/A
2016,Blastomycosis,Male,0,0.00,N/A,0.01,N/A
2016,Botulism,Male,0,0.00,N/A,0.00,N/A
2016,Brucellosis,Male,0,0.00,N/A,0.03,N/A
2016,Campylobacter enteritis,Male,64,23.19,N/A,27.39,N/A
2016,Chancroid,Male,0,0.00,N/A,0.00,N/A
2016,Chickenpox (Varicella),Male,6,2.17,N/A,1.89,N/A
2016,Chlamydia,Male,620,224.67,N/A,246.28,N/A
2016,Cholera,Male,0,0.00,N/A,0.00,N/A
2016,Creutzfeldt-Jakob Disease,Male,0,0.00,N/A,0.06,N/A
2016,Cryptosporidiosis,Male,12,4.35,N/A,3.35,N/A
2016,Cyclosporiasis,Male,3,1.09,N/A,1.77,N/A
2016,Diphtheria,Male,0,0.00,N/A,0.00,N/A
2016,Food Poisoning (all causes),Male,2,0.72,N/A,0.13,N/A
2016,Carbapenemase-producing Enterobacteriaceae (CPE),Male,0,0.00,N/A,0.00,N/A
2016,Encephalitis/Meningitis,Male,14,5.07,N/A,3.26,N/A
2016,Giardiasis,Male,18,6.52,N/A,11.34,N/A
2016,Gonorrhea,Male,125,45.30,N/A,65.48,N/A
2016,"Group A Streptococcal disease, invasive",Male,7,2.54,N/A,5.34,N/A
2016,"Group B Streptococcal disease, neonatal",Male,0,0.00,N/A,0.37,N/A
2016,"Haemophilus influenzae disease, all types",Male,0,0.00,N/A,0.04,N/A
2016,Hantavirus pulmonary syndrome,Male,0,0.00,N/A,0.00,N/A
2016,Hemorrhagic fevers and Lassa fever,Male,0,0.00,N/A,0.00,N/A
2016,Hepatitis A,Male,2,0.72,N/A,0.82,N/A
2016,Hepatitis B (acute),Male,4,1.45,N/A,1.01,N/A
2016,Hepatitis B (chronic),Male,47,17.03,N/A,16.84,N/A
2016,Hepatitis C,Male,74,26.82,N/A,40.17,N/A
2016,HIV,Male,16,5.80,N/A,9.67,N/A
2016,Influenza,Male,205,74.29,N/A,100.76,N/A
2016,Legionellosis,Male,5,1.81,N/A,1.49,N/A
2016,Leprosy,Male,1,0.36,N/A,0.06,N/A
2016,Listeriosis,Male,0,0.00,N/A,0.67,N/A
2016,Lyme Disease,Male,2,0.72,N/A,3.09,N/A
2016,Measles,Male,0,0.00,N/A,0.06,N/A
2016,Tularemia,Male,0,0.00,N/A,0.00,N/A
2016,Typhoid Fever/Paratyphoid Fever,Male,0,0.00,N/A,0.72,N/A
2016,Verotoxin-producing E. coli,Male,2,0.72,N/A,1.19,N/A
2016,Yersiniosis,Male,5,1.81,N/A,1.89,N/A
2016,"Meningococcal disease, invasive",Male,0,0.00,N/A,0.19,N/A
2016,Mpox,Male,0,0.00,N/A,0.00,N/A
2016,Mumps,Male,0,0.00,N/A,0.34,N/A
2016,Ophthalmia Neonatorum,Male,0,0.00,N/A,0.03,N/A
2016,Paralytic Shellfish Poisoning,Male,0,0.00,N/A,0.00,N/A
2016,Pertussis,Male,7,2.54,N/A,2.90,N/A
2016,Poliomyelitis (polio) and Acute Flaccid Paralysis,Male,0,0.00,N/A,0.06,N/A
2016,Powassan Virus,Male,0,0.00,N/A,0.00,N/A
2016,Psittacosis/Ornithosis,Male,0,0.00,N/A,0.00,N/A
2016,Q Fever,Male,1,0.36,N/A,0.07,N/A
2016,Rabies,Male,0,0.00,N/A,0.00,N/A
2016,Rubella,Male,0,0.00,N/A,0.00,N/A
2016,"Rubella, congenital syndrome",Male,0,0.00,N/A,0.00,N/A
2016,Salmonellosis,Male,62,22.47,N/A,21.86,N/A
2016,Severe acute respiratory syndrome (SARS),Male,0,0.00,N/A,0.00,N/A
2016,Shigellosis,Male,7,2.54,N/A,3.42,N/A
2016,Smallpox,Male,0,0.00,N/A,0.00,N/A
2016,"Streptococcus Pneumoniae, Invasive ",Male,25,9.06,N/A,8.85,N/A
2016,Syphilis - Early Congenital,Male,0,0.00,N/A,0.00,N/A
2016,Syphilis - Infectious,Male,17,6.16,N/A,19.96,N/A
2016,Syphilis - Late Latent,Male,13,4.71,N/A,6.82,N/A
2016,Tetanus,Male,0,0.00,N/A,0.01,N/A
2016,Trichinosis,Male,0,0.00,N/A,0.10,N/A
2016,Tuberculosis (active),Male,5,1.81,N/A,4.92,N/A
2016,Tuberculosis (latent),Male,91,32.98,N/A,44.01,N/A
2016,Syphilis - Other,Male,2,0.72,N/A,0.66,N/A
2016,West Nile virus (WNv),Male,0,0.00,N/A,0.42,N/A
2016,AIDS,Female,0,0.00,N/A,0.16,N/A
2016,Amebiasis,Female,10,3.61,N/A,3.14,N/A
2016,Anaplasmosis,Female,0,0.00,N/A,0.00,N/A
2016,Anthrax,Female,0,0.00,N/A,0.00,N/A
2016,Babesiosis,Female,0,0.00,N/A,0.00,N/A
2016,Blastomycosis,Female,0,0.00,N/A,0.00,N/A
2016,Botulism,Female,0,0.00,N/A,0.00,N/A
2016,Brucellosis,Female,0,0.00,N/A,0.01,N/A
2016,Campylobacter enteritis,Female,61,22.00,N/A,22.28,N/A
2016,Chancroid,Female,0,0.00,N/A,0.00,N/A
2016,Chickenpox (Varicella),Female,6,2.16,N/A,1.96,N/A
2016,Chlamydia,Female,959,345.85,N/A,354.67,N/A
2016,Cholera,Female,0,0.00,N/A,0.00,N/A
2016,Creutzfeldt-Jakob Disease,Female,0,0.00,N/A,0.06,N/A
2016,Cryptosporidiosis,Female,5,1.80,N/A,2.83,N/A
2016,Cyclosporiasis,Female,5,1.80,N/A,2.16,N/A
2016,Diphtheria,Female,0,0.00,N/A,0.00,N/A
2016,Food Poisoning (all causes),Female,0,0.00,N/A,0.17,N/A
2016,Carbapenemase-producing Enterobacteriaceae (CPE),Female,0,0.00,N/A,0.00,N/A
2016,Encephalitis/Meningitis,Female,11,3.97,N/A,3.04,N/A
2016,Giardiasis,Female,16,5.77,N/A,6.31,N/A
2016,Gonorrhea,Female,108,38.95,N/A,32.55,N/A
2016,"Group A Streptococcal disease, invasive",Female,15,5.41,N/A,4.96,N/A
2016,"Group B Streptococcal disease, neonatal",Female,1,0.36,N/A,0.34,N/A
2016,"Haemophilus influenzae disease, all types",Female,0,0.00,N/A,0.01,N/A
2016,Hantavirus pulmonary syndrome,Female,0,0.00,N/A,0.00,N/A
2016,Hemorrhagic fevers and Lassa fever,Female,0,0.00,N/A,0.00,N/A
2016,Hepatitis A,Female,4,1.44,N/A,0.64,N/A
2016,Hepatitis B (acute),Female,3,1.08,N/A,0.47,N/A
2016,Hepatitis B (chronic),Female,25,9.02,N/A,11.92,N/A
