Year,Disease,Age Group,WR Count,WR Crude Rate per 100000,WR 5 Year Average Rate,ON Crude Rate per 100000,ON 5 Year Average Rate
2015,Listeriosis,10-19,0,0.00,N/A,0.06,N/A
2015,Lyme Disease,10-19,1,1.51,N/A,1.50,N/A
2015,Measles,10-19,0,0.00,N/A,0.19,N/A
2015,Tularemia,10-19,0,0.00,N/A,0.00,N/A
2015,Typhoid Fever/Paratyphoid Fever,10-19,1,1.51,N/A,1.75,N/A
2015,Verotoxin-producing E. coli,10-19,1,1.51,N/A,2.06,N/A
2015,Yersiniosis,10-19,0,0.00,N/A,1.38,N/A
2015,"Meningococcal disease, invasive",10-19,0,0.00,N/A,0.25,N/A
2015,Mpox,10-19,0,0.00,N/A,0.00,N/A
2015,Mumps,10-19,0,0.00,N/A,1.31,N/A
2015,Ophthalmia Neonatorum,10-19,0,0.00,N/A,0.00,N/A
2015,Paralytic Shellfish Poisoning,10-19,0,0.00,N/A,0.00,N/A
2015,Pertussis,10-19,7,10.56,N/A,10.63,N/A
2015,Poliomyelitis (polio) and Acute Flaccid Paralysis,10-19,0,0.00,N/A,0.13,N/A
2015,Powassan Virus,10-19,0,0.00,N/A,0.00,N/A
2015,Psittacosis/Ornithosis,10-19,0,0.00,N/A,0.00,N/A
2015,Q Fever,10-19,0,0.00,N/A,0.00,N/A
2015,Rabies,10-19,0,0.00,N/A,0.00,N/A
2015,Rubella,10-19,0,0.00,N/A,0.00,N/A
2015,"Rubella, congenital syndrome",10-19,0,0.00,N/A,0.00,N/A
2015,Salmonellosis,10-19,12,18.10,N/A,20.07,N/A
2015,Severe acute respiratory syndrome (SARS),10-19,0,0.00,N/A,0.00,N/A
2015,Shigellosis,10-19,3,4.52,N/A,1.25,N/A
2015,Smallpox,10-19,0,0.00,N/A,0.00,N/A
2015,"Streptococcus Pneumoniae, Invasive ",10-19,1,1.51,N/A,0.88,N/A
2015,Syphilis - Early Congenital,10-19,0,0.00,N/A,0.00,N/A
2015,Syphilis - Infectious,10-19,2,3.02,N/A,1.06,N/A
2015,Syphilis - Late Latent,10-19,2,3.02,N/A,0.31,N/A
2015,Tetanus,10-19,0,0.00,N/A,0.00,N/A
2015,Trichinosis,10-19,0,0.00,N/A,0.00,N/A
2015,Tuberculosis (active),10-19,0,0.00,N/A,1.44,N/A
2015,Tuberculosis (latent),10-19,48,72.38,N/A,52.51,N/A
2015,Syphilis - Other,10-19,1,1.51,N/A,0.13,N/A
2015,West Nile virus (WNv),10-19,0,0.00,N/A,0.06,N/A
2015,AIDS,20-29,0,0.00,N/A,0.32,N/A
2015,Amebiasis,20-29,11,13.62,N/A,6.56,N/A
2015,Anaplasmosis,20-29,0,0.00,N/A,0.00,N/A
2015,Anthrax,20-29,0,0.00,N/A,0.00,N/A
2015,Babesiosis,20-29,0,0.00,N/A,0.00,N/A
2015,Blastomycosis,20-29,0,0.00,N/A,0.00,N/A
2015,Botulism,20-29,0,0.00,N/A,0.00,N/A
2015,Brucellosis,20-29,0,0.00,N/A,0.00,N/A
2015,Campylobacter enteritis,20-29,31,38.39,N/A,30.70,N/A
2015,Chancroid,20-29,0,0.00,N/A,0.00,N/A
2015,Chickenpox (Varicella),20-29,3,3.71,N/A,2.13,N/A
2015,Chlamydia,20-29,887,"1,098.33",N/A,"1,206.70",N/A
2015,Cholera,20-29,0,0.00,N/A,0.00,N/A
2015,Creutzfeldt-Jakob Disease,20-29,0,0.00,N/A,0.00,N/A
2015,Cryptosporidiosis,20-29,3,3.71,N/A,5.86,N/A
2015,Cyclosporiasis,20-29,0,0.00,N/A,1.92,N/A
2015,Diphtheria,20-29,0,0.00,N/A,0.00,N/A
2015,Food Poisoning (all causes),20-29,0,0.00,N/A,0.32,N/A
2015,Carbapenemase-producing Enterobacteriaceae (CPE),20-29,0,0.00,N/A,0.00,N/A
2015,Encephalitis/Meningitis,20-29,2,2.48,N/A,1.87,N/A
2015,Giardiasis,20-29,10,12.38,N/A,12.21,N/A
2015,Gonorrhea,20-29,100,123.83,N/A,151.26,N/A
2015,"Group A Streptococcal disease, invasive",20-29,2,2.48,N/A,2.08,N/A
