Year,Disease,WR Count,WR Rate per 100000,WR 5 Year Average Rate,ON Rate per 100000,ON 5 Year Average Rate
2017,Tuberculosis (latent),351,61.74,N/A,57.6,N/A
2017,Syphilis - Other,0,0,N/A,0.61,N/A
2017,West Nile virus (WNv),3,0.57,N/A,1.1,N/A
2018,AIDS,1,0.15,N/A,0.52,N/A
2018,Amebiasis,12,2.06,N/A,3.49,N/A
2018,Anaplasmosis,0,0,N/A,0,N/A
2018,Anthrax,0,0,N/A,0,N/A
2018,Babesiosis,0,0,N/A,0,N/A
2018,Blastomycosis,1,0.17,N/A,0.43,N/A
2018,Botulism,0,0,N/A,0.02,N/A
2018,Brucellosis,0,0,N/A,0.08,N/A
2018,Campylobacter enteritis,130,22.51,N/A,23.8,N/A
2018,Chancroid,0,0,N/A,0,N/A
2018,Chickenpox (Varicella),6,1.01,N/A,2.09,N/A
2018,Chlamydia,1804,286.84,N/A,335.75,N/A
2018,Cholera,0,0,N/A,0,N/A
2018,Creutzfeldt-Jakob Disease,0,0,N/A,0.08,N/A
2018,Cryptosporidiosis,51,8.51,N/A,5.37,N/A
2018,Cyclosporiasis,10,1.81,N/A,1.87,N/A
2018,Diphtheria,0,0,N/A,0,N/A
2018,Food Poisoning (all causes),2,0.35,N/A,0.35,N/A
2018,Carbapenemase-producing Enterobacteriaceae (CPE),5,0.88,N/A,1.26,N/A
2018,Encephalitis/Meningitis,23,4,N/A,3.01,N/A
2018,Giardiasis,66,11.39,N/A,10.81,N/A
2018,Gonorrhea,399,65.11,N/A,73.44,N/A
2018,"Group A Streptococcal disease, invasive",34,5.94,N/A,7.8,N/A
2018,"Group B Streptococcal disease, neonatal",6,0.98,N/A,0.42,N/A
2018,"Haemophilus influenzae disease, all types",6,1.06,N/A,1.31,N/A
2018,Hantavirus pulmonary syndrome,0,0,N/A,0,N/A
2018,Hemorrhagic fevers and Lassa fever,0,0,N/A,0,N/A
2018,Hepatitis A,50,8.39,N/A,1.56,N/A
2018,Hepatitis B (acute),5,0.92,N/A,0.65,N/A
2018,Hepatitis B (chronic),58,9.91,N/A,14.52,N/A
2018,Hepatitis C,152,26.08,N/A,37.34,N/A
2018,HIV,8,1.32,N/A,6.55,N/A
2018,Influenza,487,85.37,N/A,124.84,N/A
2018,Legionellosis,31,5.52,N/A,2.21,N/A
2018,Leprosy,0,0,N/A,0.04,N/A
2018,Listeriosis,2,0.35,N/A,0.49,N/A
2018,Lyme Disease,12,2.16,N/A,4.48,N/A
2018,Measles,0,0,N/A,0.06,N/A
2018,Tularemia,0,0,N/A,0,N/A
2018,Typhoid Fever/Paratyphoid Fever,8,1.4,N/A,0.94,N/A
2018,Verotoxin-producing E. coli,15,2.52,N/A,1.23,N/A
2018,Yersiniosis,14,2.36,N/A,2.13,N/A
2018,"Meningococcal disease, invasive",4,0.67,N/A,0.22,N/A
2018,Mpox,0,0,N/A,0,N/A
2018,Mumps,0,0,N/A,0.66,N/A
2018,Ophthalmia Neonatorum,0,0,N/A,0.01,N/A
2018,Paralytic Shellfish Poisoning,0,0,N/A,0,N/A
2018,Pertussis,15,2.48,N/A,2.8,N/A
2018,Poliomyelitis (polio) and Acute Flaccid Paralysis,0,0,N/A,0.11,N/A
2018,Powassan Virus,0,0,N/A,0,N/A
2018,Psittacosis/Ornithosis,0,0,N/A,0,N/A
2018,Q Fever,0,0,N/A,0.05,N/A
2018,Rabies,0,0,N/A,0,N/A
2018,Rubella,0,0,N/A,0,N/A
2018,"Rubella, congenital syndrome",0,0,N/A,0,N/A
2018,Salmonellosis,125,20.89,N/A,18.62,N/A
2018,Severe acute respiratory syndrome (SARS),0,0,N/A,0,N/A
2018,Shigellosis,9,1.5,N/A,2.25,N/A
2018,Smallpox,0,0,N/A,0,N/A
2018,"Streptococcus Pneumoniae, Invasive ",58,10.47,N/A,8.59,N/A
2018,Syphilis - Early Congenital,0,0,N/A,0.01,N/A
2018,Syphilis - Infectious,38,6.71,N/A,13.86,N/A
2018,Syphilis - Late Latent,20,3.58,N/A,5.54,N/A
2018,Tetanus,0,0,N/A,0,N/A
2018,Trichinosis,0,0,N/A,0.06,N/A
2018,Tuberculosis (active),14,2.35,N/A,4.51,N/A
2018,Tuberculosis (latent),286,48.23,N/A,55.55,N/A
2018,Syphilis - Other,0,0,N/A,0.76,N/A
2018,West Nile virus (WNv),5,0.89,N/A,0.94,N/A
2019,AIDS,0,0,N/A,0.45,N/A
2019,Amebiasis,16,2.76,N/A,3.41,N/A
2019,Anaplasmosis,0,0,N/A,0,N/A
2019,Anthrax,0,0,N/A,0,N/A
2019,Babesiosis,0,0,N/A,0,N/A
2019,Blastomycosis,1,0.19,N/A,0.6,N/A
2019,Botulism,0,0,N/A,0.01,N/A
2019,Brucellosis,0,0,N/A,0.03,N/A
2019,Campylobacter enteritis,125,21.24,N/A,21.91,N/A
2019,Chancroid,0,0,N/A,0,N/A
2019,Chickenpox (Varicella),23,3.71,N/A,2.83,N/A
2019,Chlamydia,1956,299.38,N/A,353.63,N/A
2019,Cholera,1,0.16,N/A,0.02,N/A
2019,Creutzfeldt-Jakob Disease,0,0,N/A,0.06,N/A
2019,Cryptosporidiosis,52,8.41,N/A,5.69,N/A
2019,Cyclosporiasis,26,4.55,N/A,3.05,N/A
2019,Diphtheria,0,0,N/A,0,N/A
2019,Food Poisoning (all causes),5,0.95,N/A,0.27,N/A
2019,Carbapenemase-producing Enterobacteriaceae (CPE),12,2.09,N/A,2.48,N/A
2019,Encephalitis/Meningitis,22,3.63,N/A,2.87,N/A
2019,Giardiasis,49,8.2,N/A,8.96,N/A
2019,Gonorrhea,350,55.26,N/A,77,N/A
2019,"Group A Streptococcal disease, invasive",37,6.36,N/A,7.37,N/A
2019,"Group B Streptococcal disease, neonatal",1,0.16,N/A,0.25,N/A
2019,"Haemophilus influenzae disease, all types",10,1.71,N/A,1.9,N/A
2019,Hantavirus pulmonary syndrome,0,0,N/A,0,N/A
2019,Hemorrhagic fevers and Lassa fever,0,0,N/A,0,N/A
2019,Hepatitis A,14,2.22,N/A,1.39,N/A
2019,Hepatitis B (acute),6,1.03,N/A,0.69,N/A
2019,Hepatitis B (chronic),82,13.53,N/A,14.16,N/A
2019,Hepatitis C,139,23.32,N/A,33.53,N/A
2019,HIV,12,1.9,N/A,6.76,N/A
2019,Influenza,353,59.48,N/A,91.41,N/A
2019,Legionellosis,31,5.38,N/A,2.43,N/A
2019,Leprosy,0,0,N/A,0.01,N/A
2019,Listeriosis,6,1,N/A,0.46,N/A
2019,Lyme Disease,16,2.82,N/A,8.02,N/A
2019,Measles,0,0,N/A,0.1,N/A
2019,Tularemia,0,0,N/A,0,N/A
2019,Typhoid Fever/Paratyphoid Fever,6,0.97,N/A,1.19,N/A
2019,Verotoxin-producing E. coli,14,2.28,N/A,1.64,N/A
2019,Yersiniosis,9,1.5,N/A,1.95,N/A
2019,"Meningococcal disease, invasive",2,0.3,N/A,0.25,N/A
2019,Mpox,0,0,N/A,0,N/A
2019,Mumps,1,0.19,N/A,0.54,N/A
2019,Ophthalmia Neonatorum,0,0,N/A,0,N/A
2019,Paralytic Shellfish Poisoning,0,0,N/A,0,N/A
2019,Pertussis,22,3.65,N/A,3.33,N/A
2019,Poliomyelitis (polio) and Acute Flaccid Paralysis,0,0,N/A,0.01,N/A
2019,Powassan Virus,0,0,N/A,0,N/A
2019,Psittacosis/Ornithosis,0,0,N/A,0,N/A
2019,Q Fever,0,0,N/A,0.11,N/A
2019,Rabies,0,0,N/A,0,N/A
2019,Rubella,0,0,N/A,0,N/A
2019,"Rubella, congenital syndrome",0,0,N/A,0,N/A
2019,Salmonellosis,107,17.89,N/A,16.37,N/A
2019,Severe acute respiratory syndrome (SARS),0,0,N/A,0,N/A
2019,Shigellosis,11,1.78,N/A,1.96,N/A
2019,Smallpox,0,0,N/A,0,N/A
2019,"Streptococcus Pneumoniae, Invasive ",53,9.05,N/A,8.28,N/A
2019,Syphilis - Early Congenital,0,0,N/A,0.02,N/A
2019,Syphilis - Infectious,51,8.22,N/A,17.11,N/A
2019,Syphilis - Late Latent,17,3.01,N/A,6.1,N/A
2019,Tetanus,0,0,N/A,0.01,N/A
2019,Trichinosis,0,0,N/A,0.11,N/A
2019,Tuberculosis (active),19,3.1,N/A,4.98,N/A
2019,Tuberculosis (latent),320,51.23,N/A,51.75,N/A
2019,Syphilis - Other,2,0.33,N/A,1.08,N/A
2019,West Nile virus (WNv),0,0,N/A,0.17,N/A
2020,AIDS,1,0.14,0.30,0.46,0.47
2020,Amebiasis,7,1.24,3.91,1.99,4.84
2020,Anaplasmosis,0,0,0.00,0,0.00
2020,Anthrax,0,0,0.00,0,0.00
2020,Babesiosis,0,0,0.00,0,0.00
2020,Blastomycosis,0,0,0.11,0.37,0.22
2020,Botulism,0,0,0.00,0,0.01
2020,Brucellosis,0,0,0.00,0.04,0.04
2020,Campylobacter enteritis,84,13.73,24.42,13.43,23.75
2020,Chancroid,0,0,0.00,0,0.00
