OBJECTID,SANDRAINAGEAREAID,LAYER,LEVEL_NUM,LEVEL_NAME,LEVEL1,LEVEL2,LEVEL3,LEVEL4,DRAIN_FLOW,CATEGORY,SUBCATEGORY,STATUS,SOURCE,SOURCE_DATE,Shape__Area,Shape__Length
1113,2090807,Level 3_Montgomery Direct,3,MONTGOMERY - MONTGOMERY DIRECT,Schneider,Montgomery, , ,Schneider < Montgomery <,SUB AREA,Montgomery Direct,ACTIVE,ENGINEERING,5/15/2014 12:00:00 AM,8592306.64453125,28796.4364749307
1114,2090804,Level 3_Freeport,3,MONTGOMERY - FREEPORT,Schneider,Montgomery, , ,Schneider < Montgomery <,SUB AREA,Freeport,ACTIVE,ENGINEERING,5/15/2014 12:00:00 AM,11189577.7539063,22314.4443813699
1115,2090819,Level 4_Borden,4,UPPER SCHNEIDER - BORDEN,Schneider,Upper Schneider,Shoemaker, ,Schneider < Upper Schneider < Shoemaker <,SUB AREA,Borden,ACTIVE,ENGINEERING,5/15/2014 12:00:00 AM,13367645.828125,25101.7504769998
1116,2090831,Level 4_Westmount Direct,4,UPPER SCHNEIDER - WESTMOUNT DIRECT,Schneider,Upper Schneider,Westmount, ,Schneider < Upper Schneider < Westmount <,SUB AREA,Westmount Direct,ACTIVE,ENGINEERING,5/15/2014 12:00:00 AM,7202195.984375,18522.922948507
1117,2090833,Level 4_Spring Valley South,4,MONTGOMERY - SPRING VALLEY SOUTH,Schneider,Montgomery,Spring Valley, ,Schneider < Montgomery < Spring Valley <,SUB AREA,Spring Valley South,ACTIVE,ENGINEERING,5/15/2014 12:00:00 AM,3207746.81640625,12979.4484242443
1118,2090836,Level 4_Manchester Direct,4,MONTGOMERY - MANCHESTER DIRECT,Schneider,Montgomery,Manchester, ,Schneider < Montgomery < Manchester <,SUB AREA,Manchester Direct,ACTIVE,ENGINEERING,5/15/2014 12:00:00 AM,8517093.546875,20037.0835646508
1119,2090837,Level 4_Shoemaker Direct,4,UPPER SCHNEIDER - SHOEMAKER DIRECT,Schneider,Upper Schneider,Shoemaker, ,Schneider < Upper Schneider < Shoemaker <,SUB AREA,Shoemaker Direct,ACTIVE,ENGINEERING,5/15/2014 12:00:00 AM,5525591.40625,12961.5248495785
1120,2090839,Level 4_Voison,4,UPPER SCHNEIDER - VOISON,Schneider,Upper Schneider,Shoemaker, ,Schneider < Upper Schneider < Shoemaker <,SUB AREA,Voison,ACTIVE,ENGINEERING,5/15/2014 12:00:00 AM,6549160.25390625,14657.0080393159
1121,2090809,Level 4_Spring Valley North,4,MONTGOMERY - SPRING VALLEY NORTH,Schneider,Montgomery,Spring Valley, ,Schneider < Montgomery < Spring Valley <,SUB AREA,Spring Valley North,ACTIVE,ENGINEERING,5/15/2014 12:00:00 AM,7614483.4921875,19940.5719791802
1122,2090857,Level 4_South Strasburg Minor,4,STRASBURG - SOUTH STRASBURG MINOR,Schneider,Strasburg,South Strasburg Major, ,Schneider < Strasburg <,INTERMEDIATE AREA, ,ACTIVE,ENGINEERING,5/15/2014 12:00:00 AM,35049010.2890625,38365.4088918451
1123,2090855,Level 3_South Strasburg Major,3,STRASBURG - SOUTH STRASBURG MAJOR,Schneider,Strasburg,South Strasburg Major,,Schneider < Strasburg < South Strasburg A <,INTERMEDIATE AREA, ,ACTIVE,ENGINEERING,5/15/2014 12:00:00 AM,39865814.59375,41964.4605233982
1124,2094941,Level 2_Strasburg,2,STRASBURG,Schneider,, , ,Schneider <,MAIN AREA,,ACTIVE,ENGINEERING,5/15/2014 12:00:00 AM,53891034.9101563,44173.552514479
